Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
47.33	2.987
47.33	2.988
47.33	2.988
47.33	2.988
47.33	2.988
47.33	2.988
47.33	2.988
47.33	2.988
47.33	2.988
47.33	2.988
47.32	2.988
47.32	2.988
47.32	2.987
47.33	2.987
47.33	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.985
47.32	2.987
47.32	2.987
47.32	2.987
47.32	2.987
47.31	2.987
47.32	2.988
47.32	2.988
47.31	2.988
47.31	2.988
47.31	2.988
47.31	2.988
47.31	2.987
47.31	2.987
47.31	2.987
47.31	2.987
47.31	2.988
47.31	2.987
47.31	2.988
47.31	2.988
47.31	2.988
47.31	2.988
47.31	2.988
47.3	2.987
47.3	2.987
47.31	2.987
47.31	2.987
47.31	2.987
47.3	2.987
47.3	2.987
47.3	2.987
47.31	2.987
47.31	2.985
47.3	2.985
47.3	2.985
47.3	2.985
47.3	2.985
47.3	2.987
47.3	2.985
47.3	2.987
47.3	2.987
47.3	2.987
47.3	2.987
47.3	2.987
47.3	2.988
47.29	2.988
47.3	2.988
47.3	2.989
47.3	2.989
47.29	2.989
47.29	2.989
47.29	2.989
47.29	2.989
47.29	2.989
47.29	2.989
47.29	2.989
47.29	2.988
47.29	2.987
47.29	2.987
47.29	2.987
47.29	2.987
47.29	2.987
47.29	2.988
47.29	2.988
47.29	2.987
47.29	2.988
47.29	2.987
47.29	2.987
47.29	2.987
47.29	2.987
47.28	2.987
47.28	2.988
47.28	2.988
47.28	2.988
47.29	2.989
47.28	2.989
47.29	2.989
47.29	2.989
47.28	2.989
47.28	2.989
47.28	2.988
47.28	2.988
47.29	2.988
47.29	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.28	2.987
47.27	2.987
47.27	2.988
47.27	2.988
47.27	2.988
47.27	2.988
47.27	2.988
47.27	2.988
47.27	2.988
47.27	2.988
47.26	2.988
47.26	2.988
47.26	2.988
47.26	2.988
47.26	2.988
47.26	2.988
47.26	2.988
47.26	2.988
47.26	2.988
47.26	2.987
47.26	2.987
47.26	2.987
47.26	2.987
47.26	2.987
47.26	2.987
47.26	2.987
47.26	2.987
47.26	2.987
47.26	2.988
47.26	2.988
47.25	2.988
47.25	2.988
47.25	2.988
47.25	2.989
47.25	2.988
47.25	2.988
47.25	2.988
47.25	2.988
47.25	2.987
47.25	2.987
47.25	2.987
47.25	2.987
47.25	2.987
47.25	2.987
47.24	2.987
47.25	2.987
47.25	2.987
47.25	2.987
47.25	2.987
47.25	2.987
47.25	2.987
47.24	2.987
47.24	2.988
47.24	2.987
47.24	2.988
47.24	2.988
47.24	2.989
47.24	2.989
47.24	2.988
47.24	2.988
47.24	2.989
47.24	2.988
47.24	2.988
47.23	2.988
47.24	2.988
47.24	2.988
47.23	2.988
47.23	2.988
47.24	2.988
47.23	2.988
47.23	2.988
47.23	2.987
47.23	2.988
47.23	2.987
47.23	2.988
47.23	2.987
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.987
47.23	2.987
47.23	2.987
47.23	2.987
47.23	2.987
47.23	2.987
47.23	2.987
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.23	2.988
47.22	2.988
47.23	2.987
47.23	2.987
47.23	2.987
47.23	2.987
47.23	2.987
47.22	2.985
47.22	2.985
47.22	2.987
47.22	2.987
47.22	2.987
47.22	2.987
47.22	2.987
47.22	2.987
47.22	2.988
47.22	2.988
47.22	2.988
47.22	2.988
47.22	2.988
47.21	2.988
47.21	2.988
47.21	2.988
47.21	2.988
47.21	2.988
47.21	2.988
47.21	2.988
47.21	2.988
47.21	2.989
47.21	2.988
47.21	2.988
47.21	2.988
47.2	2.988
47.2	2.988
47.21	2.987
47.2	2.988
47.2	2.987
47.2	2.987
47.2	2.988
47.2	2.988
47.2	2.988
47.2	2.989
47.2	2.989
47.2	2.989
47.2	2.988
47.2	2.988
47.2	2.988
47.2	2.988
47.19	2.987
47.19	2.988
47.19	2.988
47.19	2.988
47.19	2.988
47.19	2.988
47.19	2.988
47.2	2.987
47.19	2.988
47.19	2.988
47.19	2.988
47.19	2.988
47.19	2.988
47.18	2.988
47.18	2.988
47.18	2.988
47.18	2.988
47.18	2.988
47.18	2.988
47.18	2.989
47.18	2.988
47.18	2.988
47.18	2.988
47.18	2.987
47.18	2.987
47.18	2.985
47.18	2.985
47.18	2.985
47.18	2.985
47.18	2.985
47.18	2.985
47.18	2.987
47.17	2.985
47.17	2.985
47.17	2.987
47.17	2.987
47.17	2.987
47.17	2.987
47.17	2.987
47.17	2.988
47.17	2.988
47.17	2.988
47.16	2.988
47.16	2.987
47.16	2.988
47.17	2.987
47.16	2.987
47.16	2.987
47.16	2.987
47.16	2.987
47.16	2.987
47.16	2.987
47.16	2.988
47.16	2.988
47.16	2.989
47.16	2.989
47.16	2.989
47.16	2.989
47.15	2.989
47.16	2.989
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.988
47.15	2.987
47.15	2.987
47.14	2.988
47.14	2.987
47.14	2.988
47.14	2.988
47.14	2.987
47.14	2.988
47.14	2.988
47.14	2.988
47.14	2.987
47.14	2.987
47.14	2.987
47.14	2.987
47.14	2.987
47.14	2.987
47.14	2.987
47.14	2.987
47.14	2.987
47.14	2.987
47.14	2.987
47.13	2.988
47.13	2.987
47.13	2.988
47.13	2.988
47.13	2.987
47.13	2.988
47.13	2.987
47.13	2.987
47.13	2.988
47.13	2.987
47.13	2.987
47.13	2.987
47.13	2.985
47.13	2.987
47.13	2.987
47.13	2.987
47.13	2.987
47.13	2.988
47.12	2.987
47.12	2.988
47.12	2.988
47.12	2.988
